timestamp,second,mobs_spawned,hits,fps
1709821083323016,1,0,0,121
1709821084323872,2,0,0,120
1709821085324189,3,0,0,120
1709821086324493,4,0,0,120
1709821087325067,5,0,0,119
1709821088325476,6,0,0,120
1709821089326003,7,0,0,119
1709821090326635,8,0,0,120
1709821091327134,9,0,0,119
1709821092334984,10,20,0,119
1709821093323388,11,20,0,99
1709821094323250,12,20,1,102
1709821095323156,13,20,2,101
1709821096323534,14,20,2,99
1709821097325412,15,20,3,99
1709821098324944,16,20,3,101
1709821099334383,17,20,3,106
1709821100325181,18,20,5,101
1709821101325903,19,20,5,103
1709821102324035,20,40,6,100
1709821103326440,21,40,6,65
1709821104334762,22,40,7,64
1709821105320624,23,40,7,64
1709821106332511,24,40,8,65
1709821107326421,25,40,9,64
1709821108332160,26,40,9,65
1709821109328721,27,40,10,63
1709821110329939,28,40,11,63
1709821111324523,29,40,12,64
1709821112329686,30,60,12,65
1709821113325597,31,60,14,46
1709821114345957,32,60,18,47
1709821115345479,33,60,20,46
1709821116347447,34,60,23,46
1709821117335157,35,60,25,45
1709821118349639,36,60,26,47
1709821119334584,37,60,27,45
1709821120342066,38,60,28,47
1709821121335783,39,60,30,46
1709821122318579,40,80,31,44
1709821123351782,41,80,32,37
1709821124343080,42,80,33,35
1709821125345864,43,80,33,36
1709821126333482,44,80,33,35
1709821127338247,45,80,34,36
1709821128340465,46,80,36,36
1709821129339108,47,80,40,35
1709821130348191,48,80,44,36
1709821131341752,49,80,46,35
1709821132348343,50,100,47,36
1709821133340337,51,100,48,29
1709821134355546,52,100,48,30
1709821135346892,53,100,51,29
1709821136343759,54,100,53,29
1709821137348043,55,100,53,30
1709821138349129,56,100,53,30
1709821139342757,57,100,57,29
1709821140343693,58,100,59,29
1709821141336682,59,100,63,29
1709821142352223,60,120,65,30
1709821143357426,61,120,65,25
1709821144346027,62,120,66,24
1709821145372377,63,120,68,25
1709821146346312,64,120,73,24
1709821147346724,65,120,78,25
1709821148359892,66,120,81,25
1709821149343845,67,120,82,24
1709821150360787,68,120,83,25
1709821151334841,69,120,86,24
1709821152354318,70,140,88,25
1709821153341819,71,140,92,21
1709821154336569,72,140,96,21
1709821155328443,73,140,98,21
1709821156338172,74,140,102,21
1709821157335100,75,140,105,21
1709821158365625,76,140,107,22
1709821159381176,77,140,110,21
1709821160360889,78,140,112,20
1709821161379961,79,140,115,21
1709821162366989,80,160,117,20
1709821163367763,81,160,119,18
