timestamp,second,mobs_spawned,hits,fps
1709820568668630,1,0,0,120
1709820569667890,2,0,0,120
1709820570683344,3,0,0,119
1709820571684394,4,0,0,118
1709820572684199,5,0,0,119
1709820573671746,6,0,0,118
1709820574672163,7,0,0,120
1709820575673489,8,0,0,118
1709820576672161,9,0,0,119
1709820577679426,10,20,0,119
1709820578677527,11,20,0,115
1709820579687528,12,20,0,118
1709820580680017,13,20,1,116
1709820581680734,14,20,1,117
1709820582680392,15,20,2,116
1709820583681058,16,20,2,116
1709820584690625,17,20,2,117
1709820585690052,18,20,3,117
1709820586682093,19,20,5,116
1709820587688307,20,40,6,118
1709820588692248,21,40,6,87
1709820589694535,22,40,6,85
1709820590693401,23,40,7,86
1709820591698408,24,40,8,87
1709820592695342,25,40,10,84
1709820593705881,26,40,12,81
1709820594695951,27,40,13,82
1709820595692317,28,40,14,83
1709820596691712,29,40,25,83
1709820597699522,30,60,26,81
1709820598707921,31,60,28,57
1709820599688519,32,60,30,57
1709820600684945,33,60,33,57
1709820601682002,34,60,36,56
1709820602688694,35,60,37,60
1709820603683862,36,60,39,59
1709820604695322,37,60,41,59
1709820605686255,38,60,45,58
1709820606678653,39,60,45,59
1709820607692981,40,80,46,61
1709820608712561,41,80,48,48
1709820609679334,42,80,49,46
1709820610698816,43,80,49,49
1709820611686490,44,80,51,47
1709820612695172,45,80,53,48
1709820613718502,46,80,56,48
1709820614680181,47,80,58,46
1709820615684195,48,80,60,47
1709820616686929,49,80,61,47
1709820617699558,50,100,61,49
1709820618687654,51,100,61,40
1709820619688999,52,100,62,40
1709820620694996,53,100,68,40
1709820621706928,54,100,68,40
1709820622704205,55,100,68,41
1709820623689137,56,100,69,40
1709820624684116,57,100,70,40
1709820625693141,58,100,76,41
1709820626704222,59,100,79,41
1709820627705357,60,120,81,41
1709820628710551,61,120,81,35
1709820629690991,62,120,82,34
1709820630700497,63,120,83,35
1709820631702302,64,120,87,33
1709820632705112,65,120,90,34
1709820633714439,66,120,95,35
1709820634684810,67,120,96,33
1709820635707818,68,120,98,35
1709820636693258,69,120,100,34
1709820637715402,70,140,100,35
1709820638715041,71,140,100,30
1709820639710675,72,140,103,30
1709820640709236,73,140,105,30
1709820641705331,74,140,106,30
1709820642708739,75,140,108,30
1709820643714441,76,140,108,29
1709820644702001,77,140,108,28
1709820645691861,78,140,108,30
1709820646697539,79,140,110,30
1709820647695214,80,160,110,30
1709820648696924,81,160,110,26
1709820649708651,82,160,112,27
1709820650707048,83,160,113,27
1709820651704579,84,160,113,26
1709820652727013,85,160,114,27
1709820653699157,86,160,116,25
1709820654707037,87,160,117,26
1709820655710276,88,160,123,26
1709820656731731,89,160,127,27
1709820657727349,90,180,127,26
1709820658703445,91,180,127,23
1709820659702390,92,180,127,24
1709820660730261,93,180,129,24
1709820661721472,94,180,129,23
1709820662714706,95,180,130,23
1709820663738576,96,180,130,24
1709820664703529,97,180,130,23
1709820665721056,98,180,133,24
1709820666685975,99,180,136,23
1709820667699506,100,200,136,24
1709820668737114,101,200,137,22
1709820669722519,102,200,137,21
1709820670707656,103,200,139,21
1709820671695054,104,200,145,21
1709820672718506,105,200,145,22
1709820673701423,106,200,151,21
1709820674722327,107,200,155,22
1709820675688668,108,200,156,21
1709820676695124,109,200,162,21
1709820677729878,110,220,163,22
1709820678713579,111,220,167,19
