timestamp,second,mobs_spawned,hits,fps
1709288034629703,1,15,0,121
1709288035627901,2,30,0,120
1709288036628609,3,45,0,120
1709288037629489,4,60,1,120
1709288038630049,5,75,4,120
1709288039631392,6,90,9,120
1709288040631178,7,105,12,120
1709288041631546,8,120,13,120
1709288042631280,9,135,19,120
1709288043632810,10,150,26,120
1709288044634034,11,165,30,120
1709288045634362,12,180,34,120
1709288046635136,13,195,36,120
1709288047634587,14,210,42,119
1709288048635544,15,225,44,119
1709288049635802,16,240,52,120
1709288050639423,17,255,58,118
1709288051634202,18,270,66,118
1709288052634216,19,285,72,119
1709288053633719,20,300,79,119
1709288054633349,21,315,93,119
1709288055634305,22,330,100,119
1709288056636401,23,345,103,120
1709288057635610,24,360,112,119
1709288058635826,25,375,132,119
1709288059636280,26,390,159,119
1709288060636004,27,405,173,119
1709288061636646,28,420,179,120
1709288062640603,29,435,191,119
1709288063638043,30,450,206,120
1709288064638247,31,465,223,119
1709288065638831,32,480,232,119
1709288066639126,33,495,259,119
1709288067639055,34,510,281,119
1709288068630805,35,525,301,118
1709288069633700,36,540,314,118
1709288070632508,37,555,344,118
1709288071632479,38,570,369,119
1709288072633343,39,585,385,119
1709288073633996,40,600,395,118
1709288074634541,41,615,422,119
1709288075635583,42,630,450,118
1709288076637761,43,645,468,116
1709288077630907,44,660,489,117
1709288078647219,45,675,518,118
1709288079635935,46,690,549,116
1709288080632542,47,705,563,118
1709288081636281,48,720,575,119
1709288082638670,49,735,611,117
1709288083632063,50,750,647,98
1709288084631725,51,765,665,98
1709288085644362,52,780,682,97
1709288086642451,53,795,703,90
1709288087629870,54,810,724,91
1709288088630464,55,825,734,94
1709288089634242,56,840,746,87
1709288090634621,57,855,771,89
1709288091631633,58,870,803,89
1709288092644801,59,885,820,89
1709288093646110,60,900,831,89
1709288094645172,61,915,868,85
1709288095637567,62,930,894,84
1709288096638934,63,945,910,84
1709288097645711,64,960,931,77
1709288098638101,65,975,950,77
1709288099648981,66,990,978,74
1709288100645043,67,1005,993,70
1709288101647773,68,1020,1013,71
1709288102643118,69,1035,1036,69
1709288103660800,70,1050,1061,68
1709288104649453,71,1065,1079,66
1709288105650055,72,1080,1093,64
1709288106663063,73,1095,1117,61
1709288107653135,74,1110,1140,59
1709288108647809,75,1125,1144,57
1709288109649746,76,1140,1159,58
1709288110649041,77,1155,1179,56
1709288111644963,78,1170,1201,49
1709288112645513,79,1185,1215,54
1709288113658122,80,1200,1231,54
1709288114645509,81,1215,1254,48
1709288115670617,82,1230,1280,52
1709288116641846,83,1245,1287,48
1709288117642707,84,1260,1302,42
1709288118658361,85,1275,1328,47
1709288119659880,86,1290,1354,41
1709288120644212,87,1305,1371,41
1709288121657579,88,1320,1389,39
1709288122660143,89,1335,1408,30
1709288123664725,90,1350,1428,35
1709288124674811,91,1365,1438,31
1709288125670179,92,1380,1451,29
1709288126673086,93,1395,1468,27
1709288127722267,94,1410,1485,23
1709288128709933,95,1425,1496,19
