timestamp,second,mobs_spawned,hits,fps
1707302729586381,1,15,0,121
1707302730584802,2,30,0,120
1707302731587228,3,45,1,120
1707302732572863,4,60,2,115
1707302733573704,5,75,5,120
1707302734573752,6,90,8,120
1707302735574048,7,105,11,120
1707302736573966,8,120,14,120
1707302737576221,9,135,19,120
1707302738575708,10,150,27,120
1707302739575602,11,165,33,120
1707302740577209,12,180,37,120
1707302741577897,13,195,45,120
1707302742578044,14,210,53,120
1707302743575581,15,225,57,119
1707302744576831,16,240,62,120
1707302745577566,17,255,73,120
1707302746581063,18,270,78,120
1707302747578250,19,285,84,119
1707302748579034,20,300,91,120
1707302749578855,21,315,99,120
1707302750580319,22,330,105,120
1707302751580016,23,345,117,120
1707302752581390,24,360,121,120
1707302753581887,25,375,142,120
1707302754582270,26,390,154,120
1707302755582239,27,405,169,120
1707302756583259,28,420,176,120
1707302757571421,29,435,194,119
1707302758571524,30,450,205,120
1707302759572778,31,465,215,120
1707302760572539,32,480,223,120
1707302761574409,33,495,259,120
1707302762574524,34,510,277,120
1707302763575255,35,525,294,120
1707302764576086,36,540,307,120
1707302765576277,37,555,327,120
1707302766577917,38,570,343,120
1707302767584448,39,585,356,120
1707302768581240,40,600,370,118
1707302769581347,41,615,405,120
1707302770582645,42,630,435,119
1707302771583200,43,645,456,118
1707302772593787,44,660,470,120
1707302773596629,45,675,513,114
1707302774588096,46,690,541,115
1707302775592684,47,705,557,118
1707302776595567,48,720,564,115
1707302777600031,49,735,606,116
1707302778613733,50,750,637,92
1707302779616898,51,765,651,90
1707302780608062,52,780,664,94
1707302781617168,53,795,696,94
1707302782612112,54,810,711,89
1707302783616006,55,825,718,90
1707302784617547,56,840,731,90
1707302785620468,57,855,756,90
1707302786623825,58,870,777,90
1707302787625860,59,885,794,89
1707302788629750,60,900,811,88
1707302789623657,61,915,851,78
1707302790623535,62,930,867,82
1707302791629522,63,945,878,80
1707302792628284,64,960,888,75
1707302793627153,65,975,908,71
1707302794641130,66,990,926,73
1707302795626407,67,1005,938,69
1707302796637342,68,1020,955,70
1707302797631832,69,1035,982,66
1707302798644792,70,1050,1003,66
1707302799645583,71,1065,1016,62
1707302800646899,72,1080,1039,59
1707302801644145,73,1095,1060,59
1707302802648835,74,1110,1077,59
1707302803648885,75,1125,1096,58
1707302804652061,76,1140,1105,58
1707302805652313,77,1155,1121,55
1707302806656882,78,1170,1146,50
1707302807651875,79,1185,1162,50
1707302808651839,80,1200,1181,52
1707302809644841,81,1215,1201,51
1707302810656339,82,1230,1225,54
1707302811663965,83,1245,1241,48
1707302812669792,84,1260,1250,47
1707302813653980,85,1275,1267,44
1707302814681162,86,1290,1290,39
1707302815654383,87,1305,1303,33
1707302816686147,88,1320,1317,33
1707302817681287,89,1335,1335,27
1707302818677713,90,1350,1357,28
1707302819719942,91,1365,1363,23
1707302820715074,92,1380,1378,21
1707302821710871,93,1395,1389,19
