timestamp,second,mobs_spawned,hits,fps
1707302437713931,1,15,0,120
1707302438714186,2,30,0,116
1707302439719611,3,45,1,113
1707302440716691,4,60,3,117
1707302441717751,5,75,6,118
1707302442715457,6,90,10,118
1707302443719456,7,105,12,119
1707302444717136,8,120,14,117
1707302445704077,9,135,19,115
1707302446716703,10,150,26,120
1707302447718925,11,165,33,118
1707302448718865,12,180,37,119
1707302449722409,13,195,42,119
1707302450718714,14,210,45,118
1707302451718897,15,225,50,120
1707302452718640,16,240,56,119
1707302453720205,17,255,61,119
1707302454722546,18,270,74,116
1707302455722663,19,285,80,118
1707302456723346,20,300,87,119
1707302457710694,21,315,93,118
1707302458722959,22,330,114,120
1707302459713030,23,345,124,117
1707302460712360,24,360,128,119
1707302461712952,25,375,139,117
1707302462713082,26,390,152,116
1707302463714208,27,405,160,116
1707302464714799,28,420,164,119
1707302465715431,29,435,176,117
1707302466716123,30,450,195,116
1707302467709882,31,465,202,116
1707302468717548,32,480,212,119
1707302469711103,33,495,240,118
1707302470711817,34,510,265,118
1707302471711661,35,525,283,119
1707302472711678,36,540,292,118
1707302473712998,37,555,310,118
1707302474728658,38,570,336,114
1707302475736279,39,585,346,114
1707302476714509,40,600,362,111
1707302477736742,41,615,391,117
1707302478733231,42,630,422,112
1707302479717004,43,645,434,112
1707302480734772,44,660,453,110
1707302481728664,45,675,498,102
1707302482723631,46,690,518,115
1707302483734443,47,705,526,106
1707302484735580,48,720,542,96
1707302485734369,49,735,575,94
1707302486717329,50,750,610,93
1707302487727414,51,765,620,91
1707302488728643,52,780,632,85
1707302489729825,53,795,657,85
1707302490730530,54,810,680,84
1707302491720902,55,825,689,83
1707302492736658,56,840,702,86
1707302493732192,57,855,730,75
1707302494731800,58,870,749,76
1707302495721168,59,885,759,79
1707302496732952,60,900,773,72
1707302497720648,61,915,786,71
1707302498740309,62,930,820,76
1707302499736525,63,945,828,68
1707302500733918,64,960,843,66
1707302501729042,65,975,865,65
1707302502730920,66,990,881,62
1707302503741437,67,1005,902,56
1707302504730685,68,1020,913,59
1707302505751305,69,1035,932,58
1707302506743886,70,1050,961,53
1707302507729334,71,1065,973,52
1707302508748568,72,1080,986,51
1707302509730152,73,1095,1007,48
1707302510734892,74,1110,1032,48
1707302511754544,75,1125,1043,45
1707302512747531,76,1140,1064,44
1707302513731990,77,1155,1082,43
1707302514750220,78,1170,1101,42
1707302515748463,79,1185,1113,38
1707302516750675,80,1200,1128,38
1707302517741990,81,1215,1150,35
1707302518781652,82,1230,1165,30
1707302519769348,83,1245,1181,24
1707302520824879,84,1260,1206,22
1707302521766170,85,1275,1217,18
